Search_Ref,Downloaded,Included,Why_Not,Extracted,Authors,Title,Journal,Year,Volume,Page_Start,Page_End,Article_Number,DOI
86,1,1,NA,1,"Morrison, KW; Morrison, NC; Buchheit, RM; Dunn, R; Battley, PF; Thompson, DR",The canalized parental roles of a Eudyptes penguin constrain provisioning and growth of chicks during nutritional stress,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2016,70,467,479,NA,10.1007/s00265-016-2060-z
87,1,1,NA,1,"Moks, K; Tilgar, V; Thomson, RL; Calhim, S; Jarvisto, PE; Schuett, W; Velmala, W; Laaksonen, T",Predator encounters have spatially extensive impacts on parental behaviour in a breeding bird community,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2016,283,NA,NA,20160020,10.1098/rspb.2016.0020
92,1,1,NA,1,"Ostreiher, R; Heifetz, A",The blessing of having younger nestmates: the case of the Arabian babbler,BEHAVIORAL ECOLOGY,2016,27,393,400,NA,10.1093/beheco/arv161
94,1,1,NA,1,"Bebbington, K; Hatchwell, BJ",Coordinated parental provisioning is related to feeding rate and reproductive success in a songbird,BEHAVIORAL ECOLOGY,2016,27,652,659,NA,10.1093/beheco/arv198
96,1,1,NA,1,"Heist, CA; Ritchison, G",EFFECTS OF VARIATION IN NESTLING HUNGER LEVELS AND BEGGING ON THE PROVISIONING BEHAVIOR OF MALE AND FEMALE EASTERN PHOEBES (SAYORNIS PHOEBE),WILSON JOURNAL OF ORNITHOLOGY,2016,128,132,143,NA,NA
97,1,1,NA,1,"Botero-Delgadillo, E; Vasquez, RA","Nest Architecture, Clutch Size, Nestling Growth Patterns and Nestling Attendance of the Fire-eyed Diucon (Xolmis pyrope) in North-Central Chile",WILSON JOURNAL OF ORNITHOLOGY,2016,128,184,190,NA,NA
100,1,1,NA,1,"Michalczuk, J; Michalczuk, M","Differences in Reproductive Investment between Male and Female Syrian Woodpeckers Dendrocopos syriacus (Hemprich and Ehrenberg, 1833) in a Newly-colonised Area",ACTA ZOOLOGICA BULGARICA,2016,68,77,84,NA,NA
101,1,1,NA,1,"Fronstin, RB; Christians, JK; Williams, TD",Experimental reduction of haematocrit affects reproductive performance in European starlings,FUNCTIONAL ECOLOGY,2016,30,398,409,NA,10.1111/1365-2435.12511
102,1,1,NA,1,"Sanchez-Martinez, MA; Londono, GA",Nesting behavior of male and female Undulated Antshrikes (Frederickena unduliger),JOURNAL OF FIELD ORNITHOLOGY,2016,87,21,28,NA,10.1111/jofo.12137
105,1,1,NA,1,"Mainwaring, MC; Hartley, IR",Experimentally reduced nest-building costs result in higher provisioning rates but not increased offspring fitness in Blue Tits,AVIAN BIOLOGY RESEARCH,2016,9,52,57,NA,10.3184/175815516X14551234001807
114,1,1,NA,1,"Lucass, C; Korsten, P; Eens, M; Muller, W","Within-family parent-offspring co-adaptation in a wild bird: on static traits, behavioural reaction norms, and sex differences",FUNCTIONAL ECOLOGY,2016,30,274,282,NA,10.1111/1365-2435.12492
120,1,1,NA,1,"Robertson, GS; Bolton, M; Monaghan, P",Influence of diet and foraging strategy on reproductive success in two morphologically similar sympatric seabirds,BIRD STUDY,2016,63,319,329,NA,10.1080/00063657.2016.1183112
124,1,1,NA,1,"Chutter, CM; Redmond, LJ; Cooper, NW; Dolan, AC; Duffield, D; Murphy, MT",Paternal behaviour in a socially monogamous but sexually promiscuous passerine bird,BEHAVIOUR,2016,153,443,466,NA,10.1163/1568539X-00003359
126,1,1,NA,1,"Bueno-Enciso, J; Ferrer, ES; Barrientos, R; Serrano-Davies, E; Sanz, JJ",Habitat fragmentation influences nestling growth in Mediterranean blue and great tits,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,2016,70,129,137,NA,10.1016/j.actao.2015.12.008
131,1,1,NA,1,"Kadin, M; Olsson, O; Hentati-Sundberg, J; Ehrning, EW; Blenckner, T",Common Guillemot Uria aalge parents adjust provisioning rates to compensate for low food quality,IBIS,2016,158,167,178,NA,10.1111/ibi.12335
136,1,1,NA,1,"McDonald, PG; Rollins, LA; Godfrey, S","The relative importance of spatial proximity, kin selection and potential 'greenbeard' signals on provisioning behaviour among helpers in a cooperative bird",BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2016,70,133,143,NA,10.1007/s00265-015-2032-8
137,1,1,NA,1,"Dakin, R; Lendvai, AZ; Ouyang, JQ; Moore, IT; Bonier, F",Plumage colour is associated with partner parental care in mutually ornamented tree swallows,ANIMAL BEHAVIOUR,2016,111,111,118,NA,10.1016/j.anbehav.2015.10.006
139,1,1,NA,1,"Exposito-Granados, M; Parejo, D; Aviles, JM","Sex-Specific Parental Care in Response to Predation Risk in the European Roller, Coracias garrulus",ETHOLOGY,2016,122,72,79,NA,10.1111/eth.12444
148,1,1,NA,1,"Du, B; Guan, MM; Ren, QM; Chen, GL",Cuckolded male ground tits increase parental care for the brood,ANIMAL BEHAVIOUR,2015,110,61,67,NA,10.1016/j.anbehav.2015.09.023
150,1,1,NA,1,"Wetzel, DP; Hatch, MI; Westneat, DF",Genetic sources of individual variation in parental care behavior,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2015,69,1933,1943,NA,10.1007/s00265-015-2006-x
151,1,1,NA,1,"Cram, DL; Blount, JD; Young, AJ",The oxidative costs of reproduction are group-size dependent in a wild cooperative breeder,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2015,282,NA,NA,20152031,10.1098/rspb.2015.2031
153,1,1,NA,1,"Lendvai, AZ; Akcay, C; Ouyang, JQ; Dakin, R; Domalik, AD; St John, PS; Stanback, M; Moore, IT; Bonier, F",Analysis of the Optimal Duration of Behavioral Observations Based on an Automated Continuous Monitoring System in Tree Swallows (Tachycineta bicolor): Is One Hour Good Enough?,PLOS ONE,2015,10,NA,NA,e0141194,10.1371/journal.pone.0141194
160,1,1,NA,1,"Leonard, ML; Horn, AG; Oswald, KN; McIntyre, E",Effect of ambient noise on parent-offspring interactions in tree swallows,ANIMAL BEHAVIOUR,2015,109,1,7,NA,10.1016/j.anbehav.2015.07.036
163,1,1,NA,1,"Ouyang, JQ; Lendvai, AZ; Dakin, R; Domalik, AD; Fasanello, VJ; Vassallo, BG; Haussmann, MF; Moore, IT; Bonier, F",Weathering the storm: parental effort and experimental manipulation of stress hormones predict brood survival,BMC EVOLUTIONARY BIOLOGY,2015,15,NA,NA,219,10.1186/s12862-015-0497-8
164,1,1,NA,1,"Dunn, JC; Hamer, KC; Benton, TG",Anthropogenically-Mediated Density Dependence in a Declining Farmland Bird,PLOS ONE,2015,10,NA,NA,e0139492,10.1371/journal.pone.0139492
166,1,1,NA,1,"Laubach, ZM; Perng, W; Lombardo, M; Murdock, C; Foufopoulos, J",Determinants of parental care in Mountain White-crowned Sparrows (Zonotrichia leucophrys oriantha),AUK,2015,132,893,902,NA,10.1642/AUK-15-9.1
172,1,1,NA,1,"Wiebe, KL; Slagsvold, T","Foraging Trade-offs between Prey Size, Delivery Rate and Prey Type: How Does Niche Breadth and Early Learning of the Foraging Niche Affect Food Delivery?",ETHOLOGY,2015,121,1010,1017,NA,10.1111/eth.12411
174,1,1,NA,1,"Llambias, PE; Carro, ME; Fernandez, GJ",Latitudinal differences in life-history traits and parental care in northern and southern temperate zone House Wrens,JOURNAL OF ORNITHOLOGY,2015,156,933,942,NA,10.1007/s10336-015-1217-2
178,1,1,NA,1,"Rouaiguia, M; Lahlah, N; Bensaci, E; Houhamdi, M",Feeding behaviour and the role of insects in the diet of northern house-martin (Delichon urbica meridionalis) nestlings in northeastern Algeria,AFRICAN ENTOMOLOGY,2015,23,329,341,NA,NA
181,1,1,NA,1,"Chiarani, E; Fontana, CS",BREEDING BIOLOGY OF THE LESSER GRASS-FINCH (EMBERIZOIDES YPIRANGANUS) IN SOUTHERN BRAZILIAN UPLAND GRASSLANDS,WILSON JOURNAL OF ORNITHOLOGY,2015,127,441,456,NA,NA
184,1,1,NA,1,"Fowler, MA; Williams, TD",Individual variation in parental workload and breeding productivity in female European starlings: is the effort worth it?,ECOLOGY AND EVOLUTION,2015,5,3585,3599,NA,10.1002/ece3.1625
190,1,1,NA,1,"Yoon, J; Ha, HS; Jung, JS; Park, SR",Post-mating Sexual Behaviors of Oriental Storks (Ciconia boyciana) in Captivity,ZOOLOGICAL SCIENCE,2015,32,331,335,NA,10.2108/zs140178
191,1,1,NA,1,"Riehl, C; Strong, MJ",Social living without kin discrimination: experimental evidence from a communally breeding bird,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2015,69,1293,1299,NA,10.1007/s00265-015-1942-9
194,1,1,NA,1,"Adams, MJ; Robinson, MR; Mannarelli, ME; Hatchwell, BJ",Social genetic and social environment effects on parental and helper care in a cooperatively breeding bird,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2015,282,NA,NA,20150689,10.1098/rspb.2015.0689
195,1,1,NA,1,"Robertson, GS; Bolton, M; Monaghan, P",Parental resource allocation among offspring varies with increasing brood age in Black-legged Kittiwakes Rissa tridactyla,BIRD STUDY,2015,62,303,314,NA,10.1080/00063657.2015.1040370
196,1,1,NA,1,"Whytock, RC; Davis, D; Whytock, RT; Burgess, MD; Minderman, J; Mallord, JW",Wood Warbler Phylloscopus sibilatrix nest provisioning rates are correlated with seasonal caterpillar availability in British Oak Quercus woodlands,BIRD STUDY,2015,62,339,347,NA,10.1080/00063657.2015.1034086
200,1,1,NA,1,"Nomano, FY; Browning, LE; Savage, JL; Rollins, LA; Griffith, SC; Russell, AF",Unrelated helpers neither signal contributions nor suffer retribution in chestnut-crowed babblers,BEHAVIORAL ECOLOGY,2015,26,986,995,NA,10.1093/beheco/arv023
201,1,1,NA,1,"Grunst, AS; Grunst, ML",Context-dependent relationships between multiple sexual pigments and paternal effort,BEHAVIORAL ECOLOGY,2015,26,1170,1179,NA,10.1093/beheco/arv066
213,1,1,NA,1,"Rishworth, GM; Pistorius, PA",Protection and provisioning: the role of parental behaviour in terms of chick growth and survival in a pelagic seabird,MARINE ECOLOGY PROGRESS SERIES,2015,530,153,162,NA,10.3354/meps11317
215,1,1,NA,1,"Auclair, MMM; Ono, KA; Perlut, NG",Brood Provisioning and Nest Survival of Ardea herodias (Great Blue Heron) in Maine,NORTHEASTERN NATURALIST,2015,22,307,317,NA,10.1656/045.022.0207
223,1,1,NA,1,"Welch, BC; Boal, CW",PREY USE AND PROVISIONING RATES OF URBAN-NESTING MISSISSIPPI KITES IN WEST TEXAS,JOURNAL OF RAPTOR RESEARCH,2015,49,141,151,NA,NA
224,1,1,NA,1,"Bowers, EK; Bowden, RM; Sakaluk, SK; Thompson, CF",Immune Activation Generates Corticosterone-Mediated Terminal Reproductive Investment in a Wild Bird,AMERICAN NATURALIST,2015,185,769,783,NA,10.1086/681017
227,1,1,NA,1,"Bolopo, D; Canestrari, D; Roldan, M; Baglione, V; Soler, M",High begging intensity of great spotted cuckoo nestlings favours larger-size crow nest mates,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2015,69,873,882,NA,10.1007/s00265-015-1895-z
233,1,1,NA,1,"Wegmann, M; Voegeli, B; Richner, H",Oxidative status and reproductive effort of great tits in a handicapping experiment,BEHAVIORAL ECOLOGY,2015,26,747,754,NA,10.1093/beheco/arv006
245,1,1,NA,1,"Du, B; Liu, CJ; Bao, SJ",Begging form and growth pattern of nestlings correlate with parental food-allocation patterns in the Horned Lark (Eremophila alpestris),CANADIAN JOURNAL OF ZOOLOGY,2015,93,273,279,NA,10.1139/cjz-2014-0235
246,1,1,NA,1,"Diniz, P; Ramos, DM; Macedo, RH",Attractive males are less than adequate dads in a multimodal signalling passerine,ANIMAL BEHAVIOUR,2015,102,109,117,NA,10.1016/j.anbehav.2015.01.006
253,1,1,NA,1,"Wegmann, M; Voegeli, B; Richner, H",Physiological responses to increased brood size and ectoparasite infestation: Adult great tits favour self-maintenance,PHYSIOLOGY & BEHAVIOR,2015,141,127,134,NA,10.1016/j.physbeh.2015.01.017
254,1,1,NA,1,"Montoya, B; Torres, R",Male skin color signals direct and indirect benefits in a species with biparental care,BEHAVIORAL ECOLOGY,2015,26,425,434,NA,10.1093/beheco/aru204
262,1,1,NA,1,"Mullers, RHE; Amar, A","Parental Nesting Behavior, Chick Growth and Breeding Success of Shoebills (Balaeniceps rex) in the Bangweulu Wetlands, Zambia",WATERBIRDS,2015,38,1,9,NA,10.1675/063.038.0102
274,1,1,NA,1,"Bodrati, A; Cockle, KL; Di Sallo, FG; Ferreyra, C; Salvador, SA; Lammertink, M","NESTING AND SOCIAL ROOSTING OF THE OCHRE-COLLARED PICULET (PICUMNUS TEMMINCKII) AND WHITE-BARRED PICULET (PICUMNUS CIRRATUS), AND IMPLICATIONS FOR THE EVOLUTION OF WOODPECKER (PICIDAE) BREEDING BIOLOGY",ORNITOLOGIA NEOTROPICAL,2015,26,223,244,NA,NA
278,1,1,NA,1,"Jimeno, B; Gil, D",Parent-absent calls are related to nestling reaction time and parental food allocation in the spotless starling,BEHAVIOUR,2015,152,1413,1431,NA,10.1163/1568539X-00003285
279,1,1,NA,1,"Goyert, HF",Foraging specificity and prey utilization: evaluating social and memory-based strategies in seabirds,BEHAVIOUR,2015,152,861,895,NA,10.1163/1568539X-00003260
281,1,1,NA,1,"Oberg, M; Arlt, D; Part, T; Laugen, AT; Eggers, S; Low, M",Rainfall during parental care reduces reproductive and survival components of fitness in a passerine bird,ECOLOGY AND EVOLUTION,2015,5,345,356,NA,10.1002/ece3.1345
282,1,1,NA,1,"Grunst, AS; Grunst, ML; Rotenberry, JT",Sexual pigmentation and parental risk-taking in yellow warblers Setophaga petechia,JOURNAL OF AVIAN BIOLOGY,2015,46,9,17,NA,10.1111/jav.00496
283,1,1,NA,1,"Schneider, NA; Griesser, M",Within-season increase in parental investment in a long-lived bird species: investment shifts to maximize successful reproduction?,JOURNAL OF EVOLUTIONARY BIOLOGY,2015,28,231,240,NA,10.1111/jeb.12561
288,1,1,NA,1,"Garcia-Navas, V; Valera, F; Griggio, M",Nest decorations: an 'extended' female badge of status?,ANIMAL BEHAVIOUR,2015,99,95,107,NA,10.1016/j.anbehav.2014.10.024
3,1,0,aggression,NA,"Shew, JJ; van der Merwe, J; Schauber, EM; Tallitsch, BK; Nielsen, CK",A classic question revisited in red-winged blackbirds: disentangling confounding hypotheses surrounding parental investment theory and nest defense intensity,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2016,70,1843,1856,NA,10.1007/s00265-016-2190-3
9,1,0,diet composition,NA,"Ceia, RS; Machado, RA; Ramos, JA",Nestling food of three hole-nesting passerine species and experimental increase in their densities in Mediterranean oak woodlands,EUROPEAN JOURNAL OF FOREST RESEARCH,2016,135,839,847,NA,10.1007/s10342-016-0977-4
12,1,0,attendance,NA,"Huffeldt, NP; Merkel, FR","Sex-specific, inverted rhythms of breeding-site attendance in an Arctic seabird",BIOLOGY LETTERS,2016,12,NA,NA,20160289,10.1098/rsbl.2016.0289
14,1,0,prey mass,NA,"Guillod, N; Arlettaz, R; Jacot, A","Impact of spatial variation of a crucial prey, the molecricket, on hoopoe territory occupancy and reproduction",JOURNAL OF AVIAN BIOLOGY,2016,47,697,705,NA,10.1111/jav.00990
16,1,0,No provisioning data,NA,"Forrester, TR; Londono, GA","Breeding biology and egg temperatures of Black-faced Brush-finches (Atlapetes melanolaemus), Neotropical montane songbirds",JOURNAL OF FIELD ORNITHOLOGY,2016,87,260,272,NA,10.1111/jofo.12155
18,1,0,No provisioning data,NA,"Dehnhard, N; Ludynia, K; Masello, JF; Voigt, CC; McGill, RAR; Quillfeldt, P",Plasticity in foraging behaviour and diet buffers effects of inter-annual environmental differences on chick growth and survival in southern rockhopper penguins Eudyptes chrysocome chrysocome,POLAR BIOLOGY,2016,39,1627,1641,NA,10.1007/s00300-015-1887-5
20,1,0,No provisioning data,NA,"LaBarbera, K; Spencer, R",House Wren (Troglodytes aedon) Provisions Nestlings of Northern Cardinal (Cardinalis cardinalis),WILSON JOURNAL OF ORNITHOLOGY,2016,128,676,678,NA,NA
23,1,0,No provisioning data,NA,"Gladalski, M; Banbura, M; Kalinski, A; Markowski, M; Skwarska, J; Wawrzyniak, J; Zielinski, P; Cyzewska, I; Mankowska, D; Banbura, J",Effects of human-related disturbance on breeding success of urban and non-urban blue tits (Cyanistes caeruleus),URBAN ECOSYSTEMS,2016,19,1325,1334,NA,10.1007/s11252-016-0543-3
36,1,0,diet composition,NA,"Gatto, AJ; Yorio, P",Assessing the trophic niche of South American Terns integrating conventional and isotopic methods,EMU,2016,116,230,240,NA,10.1071/MU15010
41,1,0,Proportion of food given away,NA,"Wiley, EM; Ridley, AR",The effects of temperature on offspring provisioning in a cooperative breeder,ANIMAL BEHAVIOUR,2016,117,187,195,NA,10.1016/j.anbehav.2016.05.009
48,1,0,Levy Flights,NA,"Reynolds, AM; Paiva, VH; Cecere, JG; Focardi, S",Levy patterns in seabirds are multifaceted describing both spatial and temporal patterning,FRONTIERS IN ZOOLOGY,2016,13,NA,NA,29,10.1186/s12983-016-0160-2
49,1,0,diet composition,NA,"Helms, JA; Godfrey, AP; Ames, T; Bridge, ES",Predator foraging altitudes reveal the structure of aerial insect communities,SCIENTIFIC REPORTS,2016,6,NA,NA,28670,10.1038/srep28670
50,1,0,No provisioning data,NA,"Halley, MR; Heckscher, CM; Kalavacharla, V","Multi-Generational Kinship, Multiple Mating, and Flexible Modes of Parental Care in a Breeding Population of the Veery (Catharus fuscescens), a Trans-Hemispheric Migratory Songbird",PLOS ONE,2016,11,NA,NA,e0157051,10.1371/journal.pone.0157051
53,1,0,No provisioning data,NA,"Jenkins, JMA; Faaborg, J",POTENTIAL EFFECTS OF BROWN-HEADED COWBIRDS (MOLOTHRUS ATER) ON HOST POSTFLEDGING DISPERSAL AND SURVIVAL,WILSON JOURNAL OF ORNITHOLOGY,2016,128,404,411,NA,NA
71,1,0,number of feeding to different chicks in single bout,NA,"Fresneau, N; Muller, W",Information warfare in avian families: sex-specific begging responses to need and social environment in canary nestlings,ANIMAL BEHAVIOUR,2016,115,137,143,NA,10.1016/j.anbehav.2016.03.015
74,1,0,Proportion of successful feeds,NA,"Colombelli-Negrel, D; Webster, MS; Dowling, JL; Hauber, ME; Kleindorfer, S",Vocal imitation of mother's calls by begging Red-backed Fairywren nestlings increases parental provisioning,AUK,2016,133,273,285,NA,10.1642/AUK-15-162.1
77,1,0,Proportion of time,NA,"Knutie, SA; Owen, JP; McNew, SM; Bartlow, AW; Arriero, E; Herman, JM; DiBlasi, E; Thompson, M; Koop, JAH; Clayton, DH",Galapagos mockingbirds tolerate introduced parasites that affect Darwin's finches,ECOLOGY,2016,97,940,950,NA,10.1890/15-0119.1
83,1,0,diet composition,NA,"Case, SB; Edworthy, AB","First report of ""mining' as a feeding behaviour among Australian manna-feeding birds",IBIS,2016,158,407,415,NA,10.1111/ibi.12350
91,1,0,diet composition,NA,"Gwiazda, R; Ledwon, M",Sex-specific food choices in Whiskered Terns Chlidonias hybrida during chick rearing,ARDEA,2016,104,95,98,NA,10.5253/arde.v104i1.a8
103,1,0,parental response in PR,NA,"Lucass, C; Fresneau, N; Eens, M; Muller, W",Sex roles in nest keeping - how information asymmetry contributes to parent-offspring co-adaptation,ECOLOGY AND EVOLUTION,2016,6,1825,1833,NA,10.1002/ece3.1976
108,1,0,prey mass,NA,"Arnold, JM; Nisbet, ICT; Oswald, SA",Energetic constraint of non-monotonic mass change during offspring growth: a general hypothesis and application of a new tool,JOURNAL OF ANIMAL ECOLOGY,2016,85,476,486,NA,10.1111/1365-2656.12467
111,1,0,foraging trip duration,NA,"Saraux, C; Chiaradia, A; Salton, M; Dann, P; Viblanc, VA",Negative effects of wind speed on individual foraging performance and breeding success in little penguins,ECOLOGICAL MONOGRAPHS,2016,86,61,77,NA,10.1890/14-2124.1
112,1,0,No provisioning data,NA,"Tucker, S; Hipfner, JM; Trudel, M",Size- and condition-dependent predation: a seabird disproportionately targets substandard individual juvenile salmon,ECOLOGY,2016,97,461,471,NA,10.1890/15-0564.1
115,1,0,No provisioning data,NA,"Boucaud, ICA; Mariette, MM; Villain, AS; Vignal, C",Vocal negotiation over parental care? Acoustic communication at the nest predicts partners' incubation share,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,2016,117,322,336,NA,10.1111/bij.12705
123,1,0,Food amount rather than PR,NA,"Lucass, C; Stowe, M; Eens, M; Muller, W",Favored parent-offspring trait combinations? On the interplay of parental and offspring traits,BEHAVIORAL ECOLOGY,2016,27,134,140,NA,10.1093/beheco/arv134
127,1,0,No provisioning data,NA,"Pedler, RD; Weston, MA; Bennett, ATD",Long incubation bouts and biparental incubation in the nomadic Banded Stilt,EMU,2016,116,75,80,NA,10.1071/MU15061
132,1,0,No provisioning data,NA,"Bonter, DN; Moglia, MC; DeFisher, LE",Sons do not take advantage of a head start: parity in herring gull offspring sex ratios despite greater initial investment in males,JOURNAL OF AVIAN BIOLOGY,2016,47,121,128,NA,10.1111/jav.00649
141,1,0,No provisioning data,NA,"Sanchez-Tojar, A; Parejo, D; Martinez, JG; Rodriguez-Ruiz, J; Aviles, JM",Parentage analyses reveal hidden breeding strategies of European Rollers Coracias garrulus,ACTA ORNITHOLOGICA,2015,50,252,258,NA,10.3161/00016454AO2015.50.2.013
